competitor_id,competitor_name,rating,review_text,sentiment,date,verified_purchase,helpful_count
notion_ai,Notion AI,4.5,Finally found a tool that works the way I think,positive,2025-04-15 22:08:52.586186,True,5
notion_ai,Notion AI,5.0,Saves me hours every week organizing notes,positive,2025-04-23 22:08:52.586388,False,4
notion_ai,Notion AI,5.0,The AI summarization is incredibly accurate,positive,2025-03-14 22:08:52.586487,True,2
notion_ai,Notion AI,4.0,"Does what it says, nothing more",neutral,2025-08-31 22:08:52.586577,True,2
notion_ai,Notion AI,5.0,Love how it automatically links related concepts,positive,2025-08-24 22:08:52.586662,True,1
notion_ai,Notion AI,3.5,Solid option but expensive for what it offers,neutral,2025-10-12 22:08:52.586761,True,4
notion_ai,Notion AI,5.0,The AI summarization is incredibly accurate,positive,2025-08-30 22:08:52.586914,False,5
notion_ai,Notion AI,5.0,Love how it automatically links related concepts,positive,2025-09-26 22:08:52.587073,True,5
notion_ai,Notion AI,4.5,Love how it automatically links related concepts,positive,2025-07-13 22:08:52.587210,True,5
notion_ai,Notion AI,5.0,The AI summarization is incredibly accurate,positive,2025-11-13 22:08:52.587325,True,3
notion_ai,Notion AI,5.0,The AI summarization is incredibly accurate,positive,2025-04-07 22:08:52.587641,True,5
notion_ai,Notion AI,5.0,Saves me hours every week organizing notes,positive,2025-10-17 22:08:52.587777,False,3
notion_ai,Notion AI,4.5,Saves me hours every week organizing notes,positive,2025-02-15 22:08:52.587869,True,8
notion_ai,Notion AI,4.5,Love how it automatically links related concepts,positive,2026-01-09 22:08:52.587950,True,1
notion_ai,Notion AI,4.5,Love how it automatically links related concepts,positive,2025-10-23 22:08:52.588032,True,5
notion_ai,Notion AI,4.5,Game-changer for my research workflow,positive,2025-04-19 22:08:52.588110,False,6
notion_ai,Notion AI,5.0,Love how it automatically links related concepts,positive,2025-04-28 22:08:52.588187,True,7
notion_ai,Notion AI,4.5,Game-changer for my research workflow,positive,2025-10-13 22:08:52.588264,True,7
notion_ai,Notion AI,4.0,Solid option but expensive for what it offers,neutral,2025-11-29 22:08:52.588344,False,3
notion_ai,Notion AI,4.0,"Works well for basic needs, missing some advanced features",neutral,2025-09-10 22:08:52.588499,False,9
mem_ai,Mem.ai,3.5,Decent but not significantly better than alternatives,neutral,2025-03-06 22:08:52.588606,False,6
mem_ai,Mem.ai,4.5,Saves me hours every week organizing notes,positive,2025-07-03 22:08:52.588694,False,2
mem_ai,Mem.ai,4.0,"Does what it says, nothing more",neutral,2025-03-10 22:08:52.588780,False,5
mem_ai,Mem.ai,4.5,Game-changer for my research workflow,positive,2025-09-26 22:08:52.588862,False,2
mem_ai,Mem.ai,4.5,Saves me hours every week organizing notes,positive,2025-05-14 22:08:52.588943,True,9
mem_ai,Mem.ai,5.0,The AI summarization is incredibly accurate,positive,2025-02-25 22:08:52.589073,False,5
mem_ai,Mem.ai,5.0,The AI summarization is incredibly accurate,positive,2025-01-29 22:08:52.589161,False,10
mem_ai,Mem.ai,3.0,Too complicated for my needs,negative,2026-01-11 22:08:52.589314,False,2
mem_ai,Mem.ai,5.0,Game-changer for my research workflow,positive,2025-04-29 22:08:52.589400,True,7
mem_ai,Mem.ai,4.0,"Does what it says, nothing more",neutral,2025-07-08 22:08:52.589510,False,7
mem_ai,Mem.ai,4.5,Game-changer for my research workflow,positive,2025-04-08 22:08:52.589593,True,1
mem_ai,Mem.ai,4.5,Finally found a tool that works the way I think,positive,2025-08-12 22:08:52.589694,True,7
mem_ai,Mem.ai,5.0,Finally found a tool that works the way I think,positive,2025-11-07 22:08:52.589769,True,1
mem_ai,Mem.ai,4.0,"Works well for basic needs, missing some advanced features",neutral,2025-10-15 22:08:52.589845,True,6
mem_ai,Mem.ai,5.0,Love how it automatically links related concepts,positive,2025-09-05 22:08:52.589926,False,6
mem_ai,Mem.ai,4.5,Saves me hours every week organizing notes,positive,2025-10-02 22:08:52.590026,True,2
mem_ai,Mem.ai,3.5,Good tool but has a learning curve,neutral,2025-07-10 22:08:52.590119,False,6
mem_ai,Mem.ai,4.5,Love how it automatically links related concepts,positive,2025-03-01 22:08:52.590241,True,5
mem_ai,Mem.ai,4.5,Saves me hours every week organizing notes,positive,2025-03-08 22:08:52.590342,True,0
mem_ai,Mem.ai,5.0,The AI summarization is incredibly accurate,positive,2025-05-09 22:08:52.590417,True,8
reflect,Reflect,5.0,Saves me hours every week organizing notes,positive,2025-05-27 22:08:52.590504,True,5
